,Month,DayofMonth,DayOfWeek,FlightDate,Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,Origin,OriginCityName,OriginState,DestAirportID,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
174683,1,13,4,2022-01-13,WN,N910WN,5983,11259,DAL,"Dallas, TX",TX,10423,AUS,"Austin, TX",TX,1845,1844.0,-1.0,0.0,0.0,-1.0,1800-1859,1945,1935.0,-10.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,60.0,51.0,36.0,189.0,1,,,,,
512650,1,6,4,2022-01-06,UA,,779,12266,IAH,"Houston, TX",TX,13930,ORD,"Chicago, IL",IL,1215,,,,,,1200-1259,1455,,,,,,1400-1459,1.0,A,0.0,160.0,,,925.0,4,,,,,
353934,1,25,2,2022-01-25,AA,N965AN,2215,10423,AUS,"Austin, TX",TX,11298,DFW,"Dallas/Fort Worth, TX",TX,915,900.0,-15.0,0.0,0.0,-1.0,0900-0959,1028,1000.0,-28.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,73.0,60.0,38.0,190.0,1,,,,,
545837,1,11,2,2022-01-11,G7,N502GJ,4565,11995,GSO,"Greensboro/High Point, NC",NC,11618,EWR,"Newark, NJ",NJ,600,552.0,-8.0,0.0,0.0,-1.0,0600-0659,748,726.0,-22.0,0.0,0.0,-2.0,0700-0759,0.0,,0.0,108.0,94.0,67.0,445.0,2,,,,,
236583,1,6,4,2022-01-06,WN,N8614M,4551,11292,DEN,"Denver, CO",CO,15304,TPA,"Tampa, FL",FL,705,746.0,41.0,41.0,1.0,2.0,0700-0759,1230,1258.0,28.0,28.0,1.0,1.0,1200-1259,0.0,,0.0,205.0,192.0,165.0,1506.0,7,28.0,0.0,0.0,0.0,0.0
483040,1,16,7,2022-01-16,OO,N122SY,5437,14683,SAT,"San Antonio, TX",TX,12266,IAH,"Houston, TX",TX,1730,1720.0,-10.0,0.0,0.0,-1.0,1700-1759,1839,1911.0,32.0,32.0,1.0,2.0,1800-1859,0.0,,0.0,69.0,111.0,44.0,191.0,1,32.0,0.0,0.0,0.0,0.0
400209,1,28,5,2022-01-28,B6,N509JB,1880,11697,FLL,"Fort Lauderdale, FL",FL,11278,DCA,"Washington, DC",VA,1824,,,,,,1800-1859,2055,,,,,,2000-2059,1.0,B,0.0,151.0,,,899.0,4,,,,,
528985,1,16,7,2022-01-16,UA,N37456,2226,13930,ORD,"Chicago, IL",IL,14057,PDX,"Portland, OR",OR,907,921.0,14.0,14.0,0.0,0.0,0900-0959,1149,1150.0,1.0,1.0,0.0,0.0,1100-1159,0.0,,0.0,282.0,269.0,248.0,1739.0,7,,,,,
464683,1,22,6,2022-01-22,OO,N825SK,3903,11337,DLH,"Duluth, MN",MN,13487,MSP,"Minneapolis, MN",MN,546,538.0,-8.0,0.0,0.0,-1.0,0001-0559,659,724.0,25.0,25.0,1.0,1.0,0600-0659,0.0,,0.0,73.0,106.0,36.0,144.0,1,25.0,0.0,0.0,0.0,0.0
76390,1,30,7,2022-01-30,F9,N318FR,730,11292,DEN,"Denver, CO",CO,13244,MEM,"Memphis, TN",TN,630,626.0,-4.0,0.0,0.0,-1.0,0600-0659,952,1013.0,21.0,21.0,1.0,1.0,0900-0959,0.0,,0.0,142.0,167.0,106.0,872.0,4,0.0,0.0,21.0,0.0,0.0
539541,1,23,7,2022-01-23,ZW,,3833,13930,ORD,"Chicago, IL",IL,10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,1858,,,,,,1800-1859,2209,,,,,,2200-2259,1.0,B,0.0,131.0,,,654.0,3,,,,,
499234,1,10,1,2022-01-10,UA,N69888,1811,12892,LAX,"Los Angeles, CA",CA,12266,IAH,"Houston, TX",TX,1855,1840.0,-15.0,0.0,0.0,-1.0,1800-1859,9,2340.0,-29.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,194.0,180.0,156.0,1379.0,6,,,,,
337405,1,5,3,2022-01-05,AA,N166NN,1887,14107,PHX,"Phoenix, AZ",AZ,12892,LAX,"Los Angeles, CA",CA,1055,1051.0,-4.0,0.0,0.0,-1.0,1000-1059,1132,1114.0,-18.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,97.0,83.0,60.0,370.0,2,,,,,
86352,1,1,6,2022-01-01,HA,N388HA,20,12173,HNL,"Honolulu, HI",HI,14893,SMF,"Sacramento, CA",CA,1250,1334.0,44.0,44.0,1.0,2.0,1200-1259,2000,2100.0,60.0,60.0,1.0,4.0,2000-2059,0.0,,0.0,310.0,326.0,284.0,2462.0,10,16.0,0.0,0.0,0.0,44.0
