,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
88718,OO,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",1
89251,QX,PDX,"Portland, OR",LAX,"Los Angeles, CA",4
89548,OO,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",3
89631,F9,DEN,"Denver, CO",ORD,"Chicago, IL",4
90062,9E,MCI,"Kansas City, MO",LGA,"New York, NY",5
90189,AS,SFO,"San Francisco, CA",SAN,"San Diego, CA",2
90573,YV,BUR,"Burbank, CA",PHX,"Phoenix, AZ",2
90643,G7,GRR,"Grand Rapids, MI",ORD,"Chicago, IL",1
90867,OO,SAT,"San Antonio, TX",IAH,"Houston, TX",1
90996,QX,PDX,"Portland, OR",SLC,"Salt Lake City, UT",3
91204,WN,TPA,"Tampa, FL",DTW,"Detroit, MI",4
91397,UA,CLT,"Charlotte, NC",IAD,"Washington, DC",2
92101,QX,SLC,"Salt Lake City, UT",PDX,"Portland, OR",3
92547,YV,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2
93055,F9,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",3
93947,UA,IAH,"Houston, TX",BNA,"Nashville, TN",3
94013,YX,ORD,"Chicago, IL",RIC,"Richmond, VA",3
94423,UA,IAD,"Washington, DC",CLT,"Charlotte, NC",2
96772,NK,DEN,"Denver, CO",MCO,"Orlando, FL",7
97277,B6,EWR,"Newark, NJ",PHX,"Phoenix, AZ",9
98283,UA,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",6
98419,YV,DFW,"Dallas/Fort Worth, TX",XNA,"Fayetteville, AR",2
99194,9E,RDU,"Raleigh/Durham, NC",BOS,"Boston, MA",3
99417,OO,IAH,"Houston, TX",AUS,"Austin, TX",1
100459,YX,DSM,"Des Moines, IA",ORD,"Chicago, IL",2
135070,9E,ATL,"Atlanta, GA",VPS,"Valparaiso, FL",2
135110,G7,ORD,"Chicago, IL",DTW,"Detroit, MI",1
135120,PT,CLT,"Charlotte, NC",AVL,"Asheville, NC",1
135133,YX,EWR,"Newark, NJ",MIA,"Miami, FL",5
135237,PT,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
135378,G7,DTW,"Detroit, MI",ORD,"Chicago, IL",1
136068,C5,DEN,"Denver, CO",COS,"Colorado Springs, CO",1
136104,AS,SFO,"San Francisco, CA",AUS,"Austin, TX",7
136172,OO,SMF,"Sacramento, CA",PHX,"Phoenix, AZ",3
136189,UA,SFO,"San Francisco, CA",SLC,"Salt Lake City, UT",3
136339,OO,BOS,"Boston, MA",ORD,"Chicago, IL",4
136351,YV,LGA,"New York, NY",IAD,"Washington, DC",1
136389,G7,IAD,"Washington, DC",CLT,"Charlotte, NC",2
136514,DL,SEA,"Seattle, WA",GEG,"Spokane, WA",1
136840,OO,IAH,"Houston, TX",MSY,"New Orleans, LA",2
136991,F9,RSW,"Fort Myers, FL",ORD,"Chicago, IL",5
138080,OO,ORD,"Chicago, IL",BOS,"Boston, MA",4
138205,PT,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
138303,YX,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1
138441,YX,GRB,"Green Bay, WI",ORD,"Chicago, IL",1
138497,PT,DTW,"Detroit, MI",ORD,"Chicago, IL",1
138533,YV,DTW,"Detroit, MI",ORD,"Chicago, IL",1
138903,MQ,TPA,"Tampa, FL",MIA,"Miami, FL",1
138962,YV,CMH,"Columbus, OH",ORD,"Chicago, IL",2
139194,AS,PDX,"Portland, OR",DEN,"Denver, CO",4
139297,F9,PBI,"West Palm Beach/Palm Beach, FL",EWR,"Newark, NJ",5
139562,PT,ORD,"Chicago, IL",DTW,"Detroit, MI",1
139589,QX,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",7
139738,OO,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",1
139744,AA,IND,"Indianapolis, IN",ORD,"Chicago, IL",1
139759,WN,IAH,"Houston, TX",PHX,"Phoenix, AZ",5
139819,OO,DEN,"Denver, CO",PHX,"Phoenix, AZ",3
140119,OO,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",2
140779,OH,DTW,"Detroit, MI",CLT,"Charlotte, NC",3
141219,UA,DTW,"Detroit, MI",IAD,"Washington, DC",2
141297,OO,PHX,"Phoenix, AZ",ABQ,"Albuquerque, NM",2
141322,QX,LAX,"Los Angeles, CA",SEA,"Seattle, WA",4
141333,YX,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
142275,PT,CLE,"Cleveland, OH",ORD,"Chicago, IL",2
142348,DL,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",2
142633,9E,IND,"Indianapolis, IN",ATL,"Atlanta, GA",2
142807,YV,DFW,"Dallas/Fort Worth, TX",CRP,"Corpus Christi, TX",2
143060,9E,GSO,"Greensboro/High Point, NC",ATL,"Atlanta, GA",2
143355,OH,CLT,"Charlotte, NC",DTW,"Detroit, MI",3
144178,OO,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",2
145039,PT,BUF,"Buffalo, NY",ORD,"Chicago, IL",2
145668,YX,ORD,"Chicago, IL",MKE,"Milwaukee, WI",1
145679,AA,BOS,"Boston, MA",LGA,"New York, NY",1
145809,OO,MSP,"Minneapolis, MN",DFW,"Dallas/Fort Worth, TX",4
146140,QX,SAN,"San Diego, CA",SMF,"Sacramento, CA",2
146246,YX,MIA,"Miami, FL",RDU,"Raleigh/Durham, NC",3
146395,YV,MIA,"Miami, FL",IAH,"Houston, TX",4
146465,AA,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
146550,PT,AVL,"Asheville, NC",CLT,"Charlotte, NC",1
146605,UA,EWR,"Newark, NJ",DTW,"Detroit, MI",2
147057,QX,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",7
147293,9E,ORD,"Chicago, IL",DTW,"Detroit, MI",1
147358,MQ,DFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX",1
147448,OO,DEN,"Denver, CO",ATL,"Atlanta, GA",5
147773,F9,BNA,"Nashville, TN",DFW,"Dallas/Fort Worth, TX",3
147996,OO,DFW,"Dallas/Fort Worth, TX",LIT,"Little Rock, AR",2
148111,OO,SAT,"San Antonio, TX",PHX,"Phoenix, AZ",4
149282,YV,ORD,"Chicago, IL",IND,"Indianapolis, IN",1
149871,UA,SJC,"San Jose, CA",LAS,"Las Vegas, NV",2
149906,YV,MEM,"Memphis, TN",DFW,"Dallas/Fort Worth, TX",2
150033,QX,SFO,"San Francisco, CA",SEA,"Seattle, WA",3
150391,OO,PHX,"Phoenix, AZ",DEN,"Denver, CO",3
150610,QX,SJC,"San Jose, CA",SAN,"San Diego, CA",2
150705,OO,PHX,"Phoenix, AZ",SMF,"Sacramento, CA",3
151068,YX,CID,"Cedar Rapids/Iowa City, IA",ORD,"Chicago, IL",1
151403,OO,MEM,"Memphis, TN",DFW,"Dallas/Fort Worth, TX",2
151738,ZW,ORD,"Chicago, IL",CMH,"Columbus, OH",2
152513,UA,MCI,"Kansas City, MO",ORD,"Chicago, IL",2
152547,YV,CRP,"Corpus Christi, TX",DFW,"Dallas/Fort Worth, TX",2
153609,WN,DTW,"Detroit, MI",LAS,"Las Vegas, NV",7
154173,UA,CLT,"Charlotte, NC",ORD,"Chicago, IL",3
154611,9E,ATL,"Atlanta, GA",ECP,"Panama City, FL",1
154771,AS,DEN,"Denver, CO",PDX,"Portland, OR",4
156088,OO,ORD,"Chicago, IL",DAY,"Dayton, OH",1
156741,YV,SJC,"San Jose, CA",PHX,"Phoenix, AZ",3
156821,OH,DCA,"Washington, DC",MSY,"New Orleans, LA",4
157082,F9,IAH,"Houston, TX",ATL,"Atlanta, GA",3
157182,F9,BNA,"Nashville, TN",PHL,"Philadelphia, PA",3
158450,MQ,DCA,"Washington, DC",MSP,"Minneapolis, MN",4
158502,YV,ORD,"Chicago, IL",BWI,"Baltimore, MD",3
158509,G7,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
158876,YX,ORD,"Chicago, IL",SLC,"Salt Lake City, UT",6
159029,OO,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",2
159722,G7,EWR,"Newark, NJ",IAD,"Washington, DC",1
159818,YX,ORD,"Chicago, IL",AUS,"Austin, TX",4
159957,9E,BHM,"Birmingham, AL",ATL,"Atlanta, GA",1
160363,QX,PDX,"Portland, OR",SJC,"San Jose, CA",3
160392,YX,DTW,"Detroit, MI",IAD,"Washington, DC",2
160507,9E,ATL,"Atlanta, GA",GSO,"Greensboro/High Point, NC",2
162046,OO,DFW,"Dallas/Fort Worth, TX",XNA,"Fayetteville, AR",2
162059,QX,SFO,"San Francisco, CA",LAS,"Las Vegas, NV",2
163075,YX,MSP,"Minneapolis, MN",ORD,"Chicago, IL",2
163121,OH,ATL,"Atlanta, GA",DCA,"Washington, DC",3
163174,AA,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
163401,G7,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",1
163709,YV,ORD,"Chicago, IL",DSM,"Des Moines, IA",2
164046,WN,DTW,"Detroit, MI",TPA,"Tampa, FL",4
165049,F9,ORD,"Chicago, IL",ATL,"Atlanta, GA",3
165246,WN,PHX,"Phoenix, AZ",DTW,"Detroit, MI",7
165436,AS,SAN,"San Diego, CA",SFO,"San Francisco, CA",2
166367,AA,LGA,"New York, NY",BOS,"Boston, MA",1
167381,F9,SJU,"San Juan, PR",EWR,"Newark, NJ",7
167451,WN,MCO,"Orlando, FL",BOS,"Boston, MA",5
167609,OO,SJC,"San Jose, CA",PDX,"Portland, OR",3
167645,AS,AUS,"Austin, TX",SFO,"San Francisco, CA",7
167930,G7,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
168559,NK,BOS,"Boston, MA",BWI,"Baltimore, MD",2
168608,OO,LAS,"Las Vegas, NV",SJC,"San Jose, CA",2
202766,YX,CLT,"Charlotte, NC",MYR,"Myrtle Beach, SC",1
202933,F9,DFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA",6
203233,OO,SEA,"Seattle, WA",PHX,"Phoenix, AZ",5
203292,OO,MDW,"Chicago, IL",MSP,"Minneapolis, MN",2
203304,MQ,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
203550,YV,DFW,"Dallas/Fort Worth, TX",ICT,"Wichita, KS",2
203688,NK,ATL,"Atlanta, GA",BOS,"Boston, MA",4
203714,YX,MYR,"Myrtle Beach, SC",CLT,"Charlotte, NC",1
203786,UA,IND,"Indianapolis, IN",ORD,"Chicago, IL",1
203945,OO,DFW,"Dallas/Fort Worth, TX",GRK,"Killeen, TX",1
203986,AA,RDU,"Raleigh/Durham, NC",DCA,"Washington, DC",1
204044,AA,CLT,"Charlotte, NC",SAV,"Savannah, GA",1
204064,PT,ORD,"Chicago, IL",SDF,"Louisville, KY",2
204120,MQ,IAH,"Houston, TX",DFW,"Dallas/Fort Worth, TX",1
204625,ZW,ORD,"Chicago, IL",STL,"St. Louis, MO",2
204669,OO,IAH,"Houston, TX",LGA,"New York, NY",6
204689,MQ,MIA,"Miami, FL",RDU,"Raleigh/Durham, NC",3
204705,OO,DTW,"Detroit, MI",MDW,"Chicago, IL",1
205086,ZW,CLE,"Cleveland, OH",ORD,"Chicago, IL",2
205133,PT,SDF,"Louisville, KY",ORD,"Chicago, IL",2
205158,ZW,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
205328,OO,PHL,"Philadelphia, PA",ORD,"Chicago, IL",3
205572,AA,DFW,"Dallas/Fort Worth, TX",LIT,"Little Rock, AR",2
205578,OO,MDW,"Chicago, IL",DTW,"Detroit, MI",1
206143,AS,IAD,"Washington, DC",SFO,"San Francisco, CA",10
206532,AA,SAV,"Savannah, GA",CLT,"Charlotte, NC",1
206651,ZW,STL,"St. Louis, MO",ORD,"Chicago, IL",2
207339,OO,MSP,"Minneapolis, MN",MDW,"Chicago, IL",2
207758,OO,CRP,"Corpus Christi, TX",DFW,"Dallas/Fort Worth, TX",2
208701,MQ,MIA,"Miami, FL",TPA,"Tampa, FL",1
209515,OO,PDX,"Portland, OR",PHX,"Phoenix, AZ",5
209850,YX,STL,"St. Louis, MO",ORD,"Chicago, IL",2
209912,YX,LGA,"New York, NY",IAD,"Washington, DC",1
210104,OO,BNA,"Nashville, TN",DTW,"Detroit, MI",2
210371,G7,CLT,"Charlotte, NC",ORD,"Chicago, IL",3
210742,G4,AUS,"Austin, TX",SAN,"San Diego, CA",5
211973,OO,LIT,"Little Rock, AR",DFW,"Dallas/Fort Worth, TX",2
212083,OO,PHX,"Phoenix, AZ",PDX,"Portland, OR",5
212490,OO,LAS,"Las Vegas, NV",PHX,"Phoenix, AZ",2
212896,OH,MSY,"New Orleans, LA",DCA,"Washington, DC",4
213181,PT,ORD,"Chicago, IL",MSN,"Madison, WI",1
213874,AA,ORD,"Chicago, IL",OMA,"Omaha, NE",2
214013,G7,SDF,"Louisville, KY",ORD,"Chicago, IL",2
214243,OO,PDX,"Portland, OR",LAS,"Las Vegas, NV",4
215024,OO,LAS,"Las Vegas, NV",PDX,"Portland, OR",4
216135,AS,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",1
216464,YX,BWI,"Baltimore, MD",ORD,"Chicago, IL",3
216599,YX,CLT,"Charlotte, NC",DTW,"Detroit, MI",3
216951,OO,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",2
217076,OO,DTW,"Detroit, MI",BNA,"Nashville, TN",2
217568,YX,ORD,"Chicago, IL",MSP,"Minneapolis, MN",2
217658,UA,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",2
217824,YX,IAD,"Washington, DC",LGA,"New York, NY",1
218014,G7,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",2
218153,AA,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2
218306,OO,IAH,"Houston, TX",CLT,"Charlotte, NC",4
218330,DL,JFK,"New York, NY",DTW,"Detroit, MI",3
220776,PT,MSN,"Madison, WI",ORD,"Chicago, IL",1
220837,OO,DFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN",4
221464,OO,MSP,"Minneapolis, MN",DEN,"Denver, CO",3
221541,OO,ORD,"Chicago, IL",ATW,"Appleton, WI",1
223347,UA,SFO,"San Francisco, CA",DFW,"Dallas/Fort Worth, TX",6
223595,AA,ORD,"Chicago, IL",BWI,"Baltimore, MD",3
224566,AA,DCA,"Washington, DC",RDU,"Raleigh/Durham, NC",1
224888,YV,DFW,"Dallas/Fort Worth, TX",LIT,"Little Rock, AR",2
225891,WN,DTW,"Detroit, MI",PHX,"Phoenix, AZ",7
226084,F9,DFW,"Dallas/Fort Worth, TX",PHL,"Philadelphia, PA",6
226263,AA,LIT,"Little Rock, AR",DFW,"Dallas/Fort Worth, TX",2
226462,G7,ORD,"Chicago, IL",CLT,"Charlotte, NC",3
228111,AS,SFO,"San Francisco, CA",IAD,"Washington, DC",10
228799,F9,PHL,"Philadelphia, PA",DFW,"Dallas/Fort Worth, TX",6
229035,AA,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",2
230758,OO,SJC,"San Jose, CA",PHX,"Phoenix, AZ",3
232842,AA,PHX,"Phoenix, AZ",ELP,"El Paso, TX",2
232845,F9,SFO,"San Francisco, CA",ATL,"Atlanta, GA",9
233916,YV,IAH,"Houston, TX",MIA,"Miami, FL",4
234449,9E,ATL,"Atlanta, GA",MSY,"New Orleans, LA",2
235246,F9,MDW,"Chicago, IL",DEN,"Denver, CO",4
235381,AA,OMA,"Omaha, NE",ORD,"Chicago, IL",2
236123,C5,BNA,"Nashville, TN",IAH,"Houston, TX",3
236186,G7,ORD,"Chicago, IL",CMH,"Columbus, OH",2
270090,AA,ELP,"El Paso, TX",PHX,"Phoenix, AZ",2
270174,F9,ATL,"Atlanta, GA",RDU,"Raleigh/Durham, NC",2
270450,B6,SEA,"Seattle, WA",LAX,"Los Angeles, CA",4
270469,B6,LAX,"Los Angeles, CA",SEA,"Seattle, WA",4
270680,9E,DCA,"Washington, DC",JFK,"New York, NY",1
270754,F9,SFO,"San Francisco, CA",DFW,"Dallas/Fort Worth, TX",6
270779,F9,BDL,"Hartford, CT",ATL,"Atlanta, GA",4
270801,OO,OAK,"Oakland, CA",SEA,"Seattle, WA",3
271190,UA,ORD,"Chicago, IL",SDF,"Louisville, KY",2
271361,AA,PHX,"Phoenix, AZ",IAH,"Houston, TX",5
271622,YX,CLT,"Charlotte, NC",AVL,"Asheville, NC",1
271927,MQ,ATL,"Atlanta, GA",DCA,"Washington, DC",3
272509,9E,JFK,"New York, NY",DCA,"Washington, DC",1
272603,OO,SAT,"San Antonio, TX",DEN,"Denver, CO",4
272682,UA,DTW,"Detroit, MI",IAH,"Houston, TX",5
272735,OO,BNA,"Nashville, TN",DFW,"Dallas/Fort Worth, TX",3
272745,F9,DEN,"Denver, CO",MDW,"Chicago, IL",4
272872,F9,PHX,"Phoenix, AZ",MDW,"Chicago, IL",6
273180,C5,DTW,"Detroit, MI",IAD,"Washington, DC",2
273465,F9,CVG,"Cincinnati, OH",ATL,"Atlanta, GA",2
273502,AA,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
273664,OO,PHX,"Phoenix, AZ",SEA,"Seattle, WA",5
273895,MQ,GSO,"Greensboro/High Point, NC",CLT,"Charlotte, NC",1
274208,G7,IAD,"Washington, DC",DTW,"Detroit, MI",2
274288,AA,IAH,"Houston, TX",PHX,"Phoenix, AZ",5
274595,AA,BUF,"Buffalo, NY",ORD,"Chicago, IL",2
274670,C5,IAD,"Washington, DC",DTW,"Detroit, MI",2
274739,DL,SEA,"Seattle, WA",SMF,"Sacramento, CA",3
274839,F9,MDW,"Chicago, IL",PHX,"Phoenix, AZ",6
275029,NK,BOS,"Boston, MA",ATL,"Atlanta, GA",4
275103,NK,OAK,"Oakland, CA",SAN,"San Diego, CA",2
275182,YX,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",6
275296,G7,ORD,"Chicago, IL",DAY,"Dayton, OH",1
275495,G7,ORD,"Chicago, IL",MCI,"Kansas City, MO",2
276108,YV,DFW,"Dallas/Fort Worth, TX",GRK,"Killeen, TX",1
276115,AA,CLE,"Cleveland, OH",ORD,"Chicago, IL",2
276163,DL,LAX,"Los Angeles, CA",DEN,"Denver, CO",4
276503,G7,DTW,"Detroit, MI",IAD,"Washington, DC",2
276604,OO,DFW,"Dallas/Fort Worth, TX",MEM,"Memphis, TN",2
276999,NK,EWR,"Newark, NJ",LAX,"Los Angeles, CA",10
277164,MQ,CLT,"Charlotte, NC",GSP,"Greer, SC",1
278434,UA,ORD,"Chicago, IL",CMH,"Columbus, OH",2
278621,F9,ATL,"Atlanta, GA",DTW,"Detroit, MI",3
278634,YX,AVL,"Asheville, NC",CLT,"Charlotte, NC",1
278915,UA,BNA,"Nashville, TN",ORD,"Chicago, IL",2
279322,F9,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",7
279435,OH,DCA,"Washington, DC",ATL,"Atlanta, GA",3
279724,OO,PDX,"Portland, OR",SJC,"San Jose, CA",3
280131,F9,ATL,"Atlanta, GA",MDW,"Chicago, IL",3
280398,MQ,TYS,"Knoxville, TN",CLT,"Charlotte, NC",1
280488,NK,LAX,"Los Angeles, CA",DEN,"Denver, CO",4
280613,F9,ATL,"Atlanta, GA",CLE,"Cleveland, OH",3
280642,F9,LAS,"Las Vegas, NV",MDW,"Chicago, IL",7
280776,F9,DTW,"Detroit, MI",ATL,"Atlanta, GA",3
281006,MQ,CLT,"Charlotte, NC",GSO,"Greensboro/High Point, NC",1
281847,PT,CVG,"Cincinnati, OH",ORD,"Chicago, IL",2
281858,NK,PHL,"Philadelphia, PA",BNA,"Nashville, TN",3
281981,UA,ATL,"Atlanta, GA",SFO,"San Francisco, CA",9
283063,UA,IAH,"Houston, TX",DTW,"Detroit, MI",5
283156,MQ,GSP,"Greer, SC",CLT,"Charlotte, NC",1
283209,UA,ORD,"Chicago, IL",CLT,"Charlotte, NC",3
283625,DL,SMF,"Sacramento, CA",SEA,"Seattle, WA",3
283735,F9,MDW,"Chicago, IL",LAS,"Las Vegas, NV",7
284075,YV,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",1
284708,F9,CLE,"Cleveland, OH",ATL,"Atlanta, GA",3
286077,MQ,DCA,"Washington, DC",ATL,"Atlanta, GA",3
286302,F9,MDW,"Chicago, IL",ATL,"Atlanta, GA",3
286659,G7,MCI,"Kansas City, MO",ORD,"Chicago, IL",2
286805,OO,DFW,"Dallas/Fort Worth, TX",BNA,"Nashville, TN",3
287630,QX,SFO,"San Francisco, CA",SAN,"San Diego, CA",2
287812,UA,IAH,"Houston, TX",ATL,"Atlanta, GA",3
288123,AA,ORD,"Chicago, IL",BUF,"Buffalo, NY",2
288720,F9,ATL,"Atlanta, GA",BDL,"Hartford, CT",4
289176,MQ,MSY,"New Orleans, LA",DCA,"Washington, DC",4
290254,F9,RDU,"Raleigh/Durham, NC",ATL,"Atlanta, GA",2
290917,MQ,DCA,"Washington, DC",MSY,"New Orleans, LA",4
291225,DL,DEN,"Denver, CO",LAX,"Los Angeles, CA",4
291302,NK,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",2
291694,UA,CMH,"Columbus, OH",ORD,"Chicago, IL",2
291927,NK,BNA,"Nashville, TN",PHL,"Philadelphia, PA",3
293893,F9,ATL,"Atlanta, GA",SFO,"San Francisco, CA",9
294111,F9,STL,"St. Louis, MO",ATL,"Atlanta, GA",2
294772,NK,SLC,"Salt Lake City, UT",LAX,"Los Angeles, CA",3
295338,UA,SFO,"San Francisco, CA",ATL,"Atlanta, GA",9
297619,ZW,BNA,"Nashville, TN",ORD,"Chicago, IL",2
297801,DL,CHS,"Charleston, SC",LGA,"New York, NY",3
298151,PT,ORD,"Chicago, IL",CVG,"Cincinnati, OH",2
298838,NK,DEN,"Denver, CO",LAX,"Los Angeles, CA",4
300885,OO,SJC,"San Jose, CA",DEN,"Denver, CO",4
301147,NK,LAX,"Los Angeles, CA",EWR,"Newark, NJ",10
303186,AA,ORD,"Chicago, IL",SDF,"Louisville, KY",2
303514,MQ,CLT,"Charlotte, NC",TYS,"Knoxville, TN",1
337522,NK,SAN,"San Diego, CA",OAK,"Oakland, CA",2
337626,YX,BWI,"Baltimore, MD",BOS,"Boston, MA",2
337720,YX,BUF,"Buffalo, NY",JFK,"New York, NY",2
337742,QX,SEA,"Seattle, WA",SFO,"San Francisco, CA",3
338128,DL,JAX,"Jacksonville, FL",JFK,"New York, NY",4
338167,F9,ATL,"Atlanta, GA",PHX,"Phoenix, AZ",7
338806,NK,DFW,"Dallas/Fort Worth, TX",PHL,"Philadelphia, PA",6
338922,YX,ORD,"Chicago, IL",BNA,"Nashville, TN",2
339105,DL,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",2
339211,DL,RDU,"Raleigh/Durham, NC",JFK,"New York, NY",2
339213,NK,PIT,"Pittsburgh, PA",EWR,"Newark, NJ",2
339419,YX,CLT,"Charlotte, NC",CAE,"Columbia, SC",1
339463,NK,DTW,"Detroit, MI",PHL,"Philadelphia, PA",2
339498,YX,JFK,"New York, NY",BUF,"Buffalo, NY",2
339585,DL,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",2
339728,YX,ORD,"Chicago, IL",GRR,"Grand Rapids, MI",1
339883,QX,SFO,"San Francisco, CA",PSP,"Palm Springs, CA",2
339963,NK,LAS,"Las Vegas, NV",SLC,"Salt Lake City, UT",2
339971,OO,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",1
340294,YX,BOS,"Boston, MA",BWI,"Baltimore, MD",2
340383,YX,GRR,"Grand Rapids, MI",ORD,"Chicago, IL",1
340646,DL,BOS,"Boston, MA",DEN,"Denver, CO",8
340676,B6,BOS,"Boston, MA",BWI,"Baltimore, MD",2
340809,DL,DEN,"Denver, CO",BOS,"Boston, MA",8
341439,OO,DEN,"Denver, CO",ONT,"Ontario, CA",4
341478,F9,ATL,"Atlanta, GA",STL,"St. Louis, MO",2
341505,UA,DEN,"Denver, CO",CLT,"Charlotte, NC",6
341568,DL,JFK,"New York, NY",ORD,"Chicago, IL",3
341634,YV,PHX,"Phoenix, AZ",SMF,"Sacramento, CA",3
341702,NK,LAX,"Los Angeles, CA",SLC,"Salt Lake City, UT",3
341823,YX,CAE,"Columbia, SC",CLT,"Charlotte, NC",1
341990,B6,BWI,"Baltimore, MD",BOS,"Boston, MA",2
342008,C5,OKC,"Oklahoma City, OK",DEN,"Denver, CO",2
342181,UA,BUR,"Burbank, CA",SFO,"San Francisco, CA",2
342184,QX,PDX,"Portland, OR",SFO,"San Francisco, CA",3
342367,UA,SFO,"San Francisco, CA",BUR,"Burbank, CA",2
342415,WN,LAS,"Las Vegas, NV",DTW,"Detroit, MI",7
342635,F9,PHL,"Philadelphia, PA",BOS,"Boston, MA",2
342886,9E,BOS,"Boston, MA",BWI,"Baltimore, MD",2
343389,NK,EWR,"Newark, NJ",PIT,"Pittsburgh, PA",2
343503,9E,BWI,"Baltimore, MD",BOS,"Boston, MA",2
343659,AA,AVL,"Asheville, NC",CLT,"Charlotte, NC",1
343665,DL,DCA,"Washington, DC",JFK,"New York, NY",1
344146,G7,ORD,"Chicago, IL",BNA,"Nashville, TN",2
344780,NK,DFW,"Dallas/Fort Worth, TX",DTW,"Detroit, MI",4
345423,QX,SFO,"San Francisco, CA",PDX,"Portland, OR",3
345571,NK,DTW,"Detroit, MI",DFW,"Dallas/Fort Worth, TX",4
346411,UA,ORD,"Chicago, IL",TVC,"Traverse City, MI",1
346555,YV,DFW,"Dallas/Fort Worth, TX",MEM,"Memphis, TN",2
346991,DL,LAX,"Los Angeles, CA",SMF,"Sacramento, CA",2
347223,F9,BOS,"Boston, MA",PHL,"Philadelphia, PA",2
347929,F9,ATL,"Atlanta, GA",IAH,"Houston, TX",3
348386,AA,CLT,"Charlotte, NC",AVL,"Asheville, NC",1
349664,UA,TVC,"Traverse City, MI",ORD,"Chicago, IL",1
350111,QX,SEA,"Seattle, WA",LAX,"Los Angeles, CA",4
350437,NK,PHL,"Philadelphia, PA",DTW,"Detroit, MI",2
351349,G7,BNA,"Nashville, TN",ORD,"Chicago, IL",2
351842,DL,BOS,"Boston, MA",BNA,"Nashville, TN",4
354262,UA,ORD,"Chicago, IL",DTW,"Detroit, MI",1
354833,DL,BNA,"Nashville, TN",BOS,"Boston, MA",4
355256,OO,OKC,"Oklahoma City, OK",ATL,"Atlanta, GA",4
356160,MQ,BNA,"Nashville, TN",DCA,"Washington, DC",3
356896,NK,PHL,"Philadelphia, PA",DFW,"Dallas/Fort Worth, TX",6
357623,MQ,DCA,"Washington, DC",BNA,"Nashville, TN",3
358190,QX,PSP,"Palm Springs, CA",SFO,"San Francisco, CA",2
359480,DL,SMF,"Sacramento, CA",LAX,"Los Angeles, CA",2
360739,OO,ONT,"Ontario, CA",DEN,"Denver, CO",4
360930,UA,CLT,"Charlotte, NC",DEN,"Denver, CO",6
362181,F9,ATL,"Atlanta, GA",CVG,"Cincinnati, OH",2
366646,OO,ATL,"Atlanta, GA",OKC,"Oklahoma City, OK",4
368133,YX,IAH,"Houston, TX",MIA,"Miami, FL",4
371217,YX,MIA,"Miami, FL",IAH,"Houston, TX",4
406422,G7,DAY,"Dayton, OH",ORD,"Chicago, IL",1
406564,DL,JFK,"New York, NY",JAX,"Jacksonville, FL",4
407339,QX,LAS,"Las Vegas, NV",SFO,"San Francisco, CA",2
410361,DL,JFK,"New York, NY",DCA,"Washington, DC",1
410785,G4,SAN,"San Diego, CA",AUS,"Austin, TX",5
411023,OO,DFW,"Dallas/Fort Worth, TX",SGF,"Springfield, MO",2
