,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
9050,G7,DCA,"Washington, DC",ORD,"Chicago, IL",3
9066,MQ,DFW,"Dallas/Fort Worth, TX",OKC,"Oklahoma City, OK",1
9092,UA,BUF,"Buffalo, NY",ORD,"Chicago, IL",2
9111,OO,IAH,"Houston, TX",DTW,"Detroit, MI",5
9115,B6,EWR,"Newark, NJ",RDU,"Raleigh/Durham, NC",2
9117,F9,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",3
9125,WN,ATL,"Atlanta, GA",MEM,"Memphis, TN",2
9163,NK,ORD,"Chicago, IL",MCO,"Orlando, FL",5
9184,NK,CLE,"Cleveland, OH",ATL,"Atlanta, GA",3
9191,UA,IAH,"Houston, TX",SLC,"Salt Lake City, UT",5
9194,OO,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",7
9243,B6,MSP,"Minneapolis, MN",BOS,"Boston, MA",5
9259,WN,MCO,"Orlando, FL",ORD,"Chicago, IL",5
9273,F9,OMA,"Omaha, NE",DEN,"Denver, CO",2
9280,9E,BUF,"Buffalo, NY",JFK,"New York, NY",2
9319,AA,PHX,"Phoenix, AZ",ABQ,"Albuquerque, NM",2
9330,NK,IAH,"Houston, TX",LAX,"Los Angeles, CA",6
9347,MQ,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",1
9364,NK,AUS,"Austin, TX",LAX,"Los Angeles, CA",5
9389,F9,OKC,"Oklahoma City, OK",DEN,"Denver, CO",2
9420,WN,ATL,"Atlanta, GA",PBI,"West Palm Beach/Palm Beach, FL",3
9445,DL,DFW,"Dallas/Fort Worth, TX",LGA,"New York, NY",6
9454,C5,TUL,"Tulsa, OK",DEN,"Denver, CO",3
9467,F9,SEA,"Seattle, WA",LAS,"Las Vegas, NV",4
9493,DL,LIT,"Little Rock, AR",ATL,"Atlanta, GA",2
9495,WN,MCO,"Orlando, FL",DEN,"Denver, CO",7
9511,DL,PHL,"Philadelphia, PA",DTW,"Detroit, MI",2
9514,YX,EWR,"Newark, NJ",MSP,"Minneapolis, MN",5
9527,AA,ORD,"Chicago, IL",BNA,"Nashville, TN",2
9536,NK,MIA,"Miami, FL",IAH,"Houston, TX",4
9556,NK,MCO,"Orlando, FL",MSY,"New Orleans, LA",3
9602,DL,DFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA",5
9612,WN,SEA,"Seattle, WA",DEN,"Denver, CO",5
9618,B6,MIA,"Miami, FL",LAX,"Los Angeles, CA",10
9633,9E,PHL,"Philadelphia, PA",DTW,"Detroit, MI",2
